Spot,Label,Beam,session,Int_24Mg,Yield,R_Mg_Si,d25Mg,d26Mg,bias,bias_error,bias_26,MgO,SiO2,CaO,Cr2O3,FeO,NiO,MnO,Fo_Num
WI-STD-91 OROL17_1,OR_OL,O2,FI3,1.85,1.79,7.19,-1.51,-2.4,0.38,0.13,0.69,28.3097498,35.233071,0.036616,0,34.9639415,0,0.6547438,59.1
WI-STD-91 OROL17_2,OR_OL,O2,FI3,1.83,1.77,7.19,-1.5,-2.36,0.39,0.13,0.73,28.3097498,35.233071,0.036616,0,34.9639415,0,0.6547438,59.1
WI-STD-91 OROL5_1,OR_OL,O2,FI3,1.9,1.84,7.52,-1.44,-2.22,0.45,0.13,0.87,28.3097498,35.233071,0.036616,0,34.9639415,0,0.6547438,59.1
WI-STD-91 OROL5_2,OR_OL,O2,FI3,1.9,1.84,7.52,-1.44,-2.24,0.45,0.13,0.85,28.3097498,35.233071,0.036616,0,34.9639415,0,0.6547438,59.1
WI-STD-92 OROL2_1,OR_OL,O2,FI3,1.84,1.82,7.3549,-1.42,-2.03,0.42,0.18,0.75,28.3097498,35.233071,0.036616,0,34.9639415,0,0.6547438,59.1
WI-STD-92 OROL2_2,OR_OL,O2,FI3,1.83,1.81,7.3549,-1.42,-2.07,0.42,0.18,0.71,28.3097498,35.233071,0.036616,0,34.9639415,0,0.6547438,59.1
WI-STD-91 FJOL2_1,FJ_OL,O2,FI3,2.19,2.12,8.97,-1.31,-1.98,0.64,0.2,1.19,37.13,37.08,0.059,0,24.21,0.14,0.429,73.2
WI-STD-91 FJOL2_2,FJ_OL,O2,FI3,2.14,2.09,8.97,-1.3,-1.98,0.64,0.2,1.19,37.13,37.08,0.059,0,24.21,0.14,0.429,73.2
WI-STD-92 FJOL2_1,FJ_OL,O2,FI3,2.08,2.08,8.97,-1.26,-1.72,0.63,0.21,1.14,37.13,37.08,0.059,0,24.21,0.14,0.429,73.2
WI-STD-92 FJOL2_2,FJ_OL,O2,FI3,2.11,2.1,8.97,-1.31,-1.77,0.58,0.21,1.09,37.13,37.08,0.059,0,24.21,0.14,0.429,73.2
WI-STD-91 KNOL1-2_1,KN_OL,O2,FI3,2.22,2.14,9.28,-1.1,-1.61,0.74,0.18,1.48,39.67,38.07,0.377,0.8,20.07,0,0.446,77.9
WI-STD-91 KNOL1-2_2,KN_OL,O2,FI3,2.2,2.15,9.28,-1.18,-1.79,0.65,0.18,1.29,39.67,38.07,0.377,0.8,20.07,0,0.446,77.9
WI-STD-92 CL0919-1_1,CL09_19_OL,O2,FI3,2.2,2.21,9.28,-1.07,-1.31,0.94,0.11,1.74,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-2,CL09_19_OL,O2,FI3,2.18,2.2,9.28,-1.21,-1.52,0.79,0.11,1.54,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-3,CL09_19_OL,O2,FI3,2.19,2.2,9.28,-1.09,-1.39,0.92,0.11,1.66,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-4,CL09_19_OL,O2,FI3,2.19,2.21,9.28,-1.32,-1.78,0.69,0.11,1.28,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-5,CL09_19_OL,O2,FI3,2.2,2.22,9.28,-1.15,-1.46,0.86,0.11,1.6,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-6,CL09_19_OL,O2,FI3,2.19,2.2,9.28,-1.12,-1.43,0.89,0.11,1.62,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-7,CL09_19_OL,O2,FI3,2.17,2.18,9.28,-1.14,-1.4,0.87,0.11,1.66,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0919-9,CL09_19_OL,O2,FI3,2.18,2.2,9.28,-1.1,-1.35,0.91,0.11,1.71,41.41,38.26,0.079,0,18.98,0.18,0.222,79.5
WI-STD-92 CL0908-1_1,CL_09_08_OL,O2,FI3,2.22,2.23,9.48,-1.08,-1.3,0.93,0.11,1.8,42.35,38.22,0.047,0,17.93,0.25,0.207,80.8
WI-STD-92 CL0908-2,CL_09_08_OL,O2,FI3,2.22,2.24,9.48,-0.92,-1,1.09,0.11,2.1,42.35,38.22,0.047,0,17.93,0.25,0.207,80.8
WI-STD-92 CL0908-3,CL_09_08_OL,O2,FI3,2.21,2.22,9.48,-1.11,-1.39,0.9,0.11,1.71,42.35,38.22,0.047,0,17.93,0.25,0.207,80.8
