type,Label,ID,session,bias,bias_error,MgO,FeO,CaO,Cr2O3,MnO,Yield,Fo,R_Mg_Si
standard,A77257-Ol,WISTD91 A77257-5_10,1,1.599473686,0.24,44.96,13.4461566,0.3181324,0.8245854,0.4549814,1.893661561,0.856265532,11.19
standard,A77257-Ol,WISTD91 A77257-5_5,1,1.477240886,0.33,44.96,13.4461566,0.3181324,0.8245854,0.4549814,1.909185892,0.856265532,11.19
standard,A77257-Ol,WISTD91 A77257-5_6,1,1.358957291,0.28,44.96,13.4461566,0.3181324,0.8245854,0.4549814,1.917256322,0.856265532,11.19
standard,A77257-Ol,WISTD91 A77257-5_8,1,1.426563118,0.45,44.96,13.4461566,0.3181324,0.8245854,0.4549814,1.86416948,0.856265532,11.19
standard,A77257-Ol,WISTD91 A77257-5_9,1,1.408312272,0.45,44.96,13.4461566,0.3181324,0.8245854,0.4549814,1.896042428,0.856265532,11.19
standard,FJ-Ol,WISTD91 FJOL2_2,1,0.824267273,0.32,37.13,24.21,0.059,0,0.421457575,1.802968483,0.732078261,10.24
standard,FJ-Ol,WISTD91 FJOL2_3,1,0.847701974,0.41,37.13,24.21,0.059,0,0.421457575,1.790926803,0.732078261,10.24
standard,FJ-Ol,WISTD91 FJOL2_4,1,0.53824597,0.41,37.13,24.21,0.059,0,0.421457575,1.786268354,0.732078261,10.24
standard,FJ-Ol,WISTD91 FJOL2_5,1,0.982538448,0.32,37.13,24.21,0.059,0,0.421457575,1.788018645,0.732078261,10.24
standard,FJ-Ol,WISTD91 FJOL2_6,1,0.997801303,0.33,37.13,24.21,0.059,0,0.421457575,1.782403177,0.732078261,10.24
standard,FJ-Ol,WISTD91 FJOL2_7,1,0.749693895,0.29,37.13,24.21,0.059,0,0.421457575,1.803147457,0.732078261,10.24
standard,HaK-Ol,WISTD91 HaKOL g1-2_2,1,-0.478110043,0.24,49.93797,7.81,0.025,0,0.1278276,1.884116312,0.919302652,8.53
standard,HaK-Ol,WISTD91 HaKOL g1-2_3,1,-0.46628093,0.25,49.93797,7.81,0.025,0,0.1278276,1.90394965,0.919302652,8.53
standard,HaK-Ol,WISTD91 HaKOL g1-2_4,1,-0.640139988,0.25,49.93797,7.81,0.025,0,0.1278276,1.911319985,0.919302652,8.53
standard,HaK-Ol,WISTD91 HaKOL g1-2_5,1,-0.11278616,0.45,49.93797,7.81,0.025,0,0.1278276,1.91449844,0.919302652,8.53
standard,HaK-Ol,WISTD91 HaKOL g1-2_6,1,-0.38323417,0.45,49.93797,7.81,0.025,0,0.1278276,1.898852014,0.919302652,8.53
